cancer	counties	forced	coefficient	coef_pval	bic	delta_bic	bayes_factor
lung	253	elevation	-0.354751971504714	2.68895705165356e-17	484.169403799063	0	1
lung	253	uvb	-0.217057324767508	5.89828081826451e-06	529.704163508446	45.5347597093833	1.2949486932424e-10
lung	253	sunlight	-0.0444163777478456	0.435456114416406	543.91818006506	59.7487762659975	1.06100659550631e-13
lung	253	precipitation	0.151474080481588	0.00122721742553369	538.854533841517	54.6851300424539	1.33436576250981e-12
lung	253	high_temp	0.207345226695046	9.74331402644605e-05	528.895454736166	44.7260509371037	1.94026674566472e-10
lung	253	diurnal_temp	0.0763036813264485	0.0974631814967309	541.714518606934	57.5451148078709	3.19328064910873e-13
lung	253	radon	-0.24462908648569	6.87452805497444e-09	523.158731655372	38.9893278563098	3.41644968746368e-09
lung	253	particulate	0.0940954507345611	0.0316358758290587	539.785807852006	55.6164040529429	8.3762823503622e-13
breast	242	elevation	-0.157417217335164	0.00576999181456176	560.789634593469	0	1
breast	242	uvb	-0.16412065823038	0.00142664743232774	557.421193628231	-3.36844096523748	5.38824906104878
breast	242	sunlight	-0.152979575179582	0.002426905123745	558.424247548626	-2.36538704484235	3.2631517487235
breast	242	precipitation	0.182394569470143	0.000420920510082991	555.092765023387	-5.69686957008196	17.2607439114281
breast	242	high_temp	-0.12316157052777	0.0165772343246395	561.973851551308	1.18421695783957	0.553159728656222
breast	242	diurnal_temp	-0.0518330284152781	0.281235919572715	566.679695170134	5.89006057666518	0.0526004666117191
breast	242	radon	-0.0691871599489444	0.190199420228704	566.883122695643	6.09348810217421	0.0475133739329913
breast	242	particulate	-0.0604208604421344	0.216587110313297	566.303868550343	5.51423395687414	0.0634745031802202
colorectal	242	elevation	0.0685423881001005	0.287629410752225	659.10652658131	0	1
colorectal	242	uvb	-0.0810022028704201	0.212788515634449	658.673222113574	-0.433304467735525	1.24191213205109
colorectal	242	sunlight	-0.150320611000089	0.020976596888353	654.792636156557	-4.3138904247528	8.64468959164262
colorectal	242	precipitation	-0.00298618650392086	0.962756798475161	659.82572110935	0.719194528039907	0.697957362017812
colorectal	242	high_temp	-0.0835999791805585	0.212400170263208	658.670510763992	-0.436015817317639	1.24359690276378
colorectal	242	diurnal_temp	0.0205910335547658	0.71640047036029	659.692915725293	0.58638914398307	0.745876999804211
colorectal	242	radon	0.0827930398811755	0.175403826278861	658.381601169808	-0.724925411501772	1.43686363323659
colorectal	242	particulate	0.027866322182174	0.617167297974032	659.572272837128	0.465746255818431	0.79225408208014
prostate	258	elevation	0.151003029292567	0.0377637008392147	746.926867154979	0	1
prostate	258	uvb	-0.242230984835663	0.00105887884643838	748.138396419322	1.21152926434297	0.545657040158977
prostate	258	sunlight	-0.349150833960737	1.2044641111864e-08	747.753619541356	0.826752386376938	0.661413416797769
prostate	258	precipitation	-0.166161782458852	0.0151126557996803	745.304645446649	-1.62222170832956	2.25040647209505
prostate	258	high_temp	-0.333306785408771	1.53845693682582e-08	733.111986499297	-13.8148806556815	999.685098450499
prostate	258	diurnal_temp	0.0226816245817881	0.727229017601718	751.212162625804	4.28529547082508	0.117343736173515
prostate	258	radon	0.170812156934078	0.0110344123741713	744.736049970488	-2.19081718449024	2.99040428980951
prostate	258	particulate	-0.0288688098348045	0.647907006809221	751.123392497038	4.19652534205943	0.122669360266303
